Year,Event,Location,1st Place Time,1st Place Location,2nd Place Time,2nd Place Location,3rd Place Time,3rd Place Location,4th Place Time,4th Place Location,5th Place Time,5th Place Location,6th Place Time,6th Place Location
2017,2017 World Rowing Championships,"Sarasota-Bradenton, USA",06:40.640,CZE,06:43.490,CUB,06:45.140,GBR,06:45.500,CRO,06:52.840,NZL,06:55.900,GER
2017,2017 World Rowing Cup III,"Lucerne, SUI",06:49.080,NZL,06:52.940,CUB,06:55.000,BLR,06:55.070,SUI,07:00.330,DEN1,07:02.290,CZE
2017,2017 World Rowing Cup II,"Poznan, POL",06:30.740,NZL,06:38.670,CUB,06:40.250,SUI,06:43.080,GER,06:45.460,GBR1,06:51.060,CRO1
2017,2017 World Rowing Cup I,"Belgrade, SRB",06:53.230,SUI,06:53.650,CRO1,06:55.710,SRB,06:56.600,NED1,06:58.180,BLR,06:59.780,RUS1
2017,2017 European Rowing Championships,"Racice, CZE",06:48.130,CZE,06:50.020,CRO,06:52.990,BLR,06:53.490,FRA,07:01.960,GER,07:09.140,AZE
2016,2016 Olympic Games Regatta,"Rio de Janeiro, BRA",06:41.340,NZL,06:41.340,CRO,06:44.100,CZE,06:47.420,BEL,06:48.780,BLR,06:55.900,CUB
2016,2016 World Rowing Cup III,"Poznan, POL",06:37.810,NZL1,06:39.140,CRO,06:42.540,GBR1,06:46.360,CZE1,06:54.290,NZL2,07:03.260,FRA
2016,2016 World Rowing Cup II,"Lucerne, SUI",06:54.110,NZL,06:57.430,CZE,06:59.310,CUB,07:00.380,NED,07:12.870,GBR,07:28.620,LTU1
2016,2016 World Rowing Cup I,"Varese, ITA",07:10.230,CRO,07:16.220,CUB,07:17.380,BEL,07:19.480,FIN,07:20.030,POL1,07:23.790,ISR
2016,2016 European Rowing Championships,"Brandenburg, GER",08:05.590,CRO,08:19.300,LTU,08:25.400,CZE,08:25.590,BEL,08:37.190,BLR,09:26.770,DEN
2015,2015 World Rowing Championships,"Aiguebelette, FRA",06:54.760,CZE,06:55.100,NZL,06:57.640,LTU,07:03.740,NOR,07:04.480,CRO,07:04.820,CUB
2015,2015 World Rowing Cup III,"Lucerne, SUI",06:47.380,NZL1,06:52.680,LTU,06:54.800,GBR,06:56.290,BEL,07:00.400,CZE,07:05.530,ITA1
2015,2015 World Rowing Cup II,"Varese, ITA",06:45.220,NZL1,06:46.710,CUB,06:49.400,BLR,06:54.760,CZE,06:58.720,GBR1,07:03.850,CRO
2015,2015 World Rowing Cup I,"Bled, SLO",06:49.740,CUB,06:50.990,CRO,07:03.740,SUI,07:07.460,SLO1,07:10.360,EGY,07:15.180,CHN1
